ano,id_municipio,id_municipio_nome,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2024,2910800,Feira de Santana,60015210,29071458,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,653.61,1.0
2023,4303004,Cachoeira do Sul,60037069,43058834,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,762.1707249,1.0295844
2024,3304557,Rio de Janeiro,60024562,33107684,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,724.71,1.08
2024,3129509,Ibiá,60020043,31139548,11,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,787.12,1.22
2024,4203204,Camboriú,60035284,42017456,1,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,4317509,Santo Ângelo,60039015,43027067,11,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,742.1016739,0.9999622
2023,2611606,Recife,60012839,26054392,12,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,752.0764622,0.9047906
2024,4314902,Porto Alegre,60037931,43059739,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2023,2111300,São Luís,60006071,21012028,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,760.0525653,1.4130438
2024,3152501,Pouso Alegre,60018809,31169253,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,732.16,1.13
2023,3162500,São João del Rei,60020109,31167528,10,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,696.4318833,1.0009459
2024,4125506,São José dos Pinhais,60033699,41125698,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,766.47,1.32
2023,3138708,Luminárias,60020098,31019852,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,765.9495,1.047951
2024,1600303,Macapá,60003701,16002106,1,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,732.89,1.08
2023,5208707,Goiânia,60041847,52004256,11,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3171204,Vespasiano,60021658,31194838,12,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,1501402,Belém,60001970,15097669,10,2° ano do Ensino Fundamental,Municipal,Ausente,Prova não preenchida,Não,,
2024,3512803,Cosmópolis,60028443,35110181,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,749.2538444,1.08
2023,3201308,Cariacica,60022940,32018901,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Não,688.4178693,1.008203
2023,3118601,Contagem,60020927,31116876,10,2° ano do Ensino Fundamental,Municipal,Presente,Prova preenchida,Sim,755.5801273,0.9536359
2024,3513801,Diadema,60026594,35255336,1,2° ano do Ensino Fundamental,Estadual,Presente,Prova preenchida,Não,733.2536817,1.0344828
